,Movie/TV Title,Cost USD,UPC,Format
0,"As Good as It Gets (DVD, 1997) - J0806",$1.99 USD,,
1,"Stand by Me (DVD, 1986, Special Edition) - J0806",$1.99 USD,,
2,"The Proposal (DVD, 2009) - J0806",$1.99 USD,,
3,"Freaky Friday (DVD, 2003, Disney) - J0806",$1.99 USD,,
4,"Hook (DVD, 1991) - J0806",$1.99 USD,,
5,"Good Will Hunting (DVD, 1997, Miramax Collectors Series, Widescreen) - J0806",$1.99 USD,,
6,"Bedazzled (DVD, Special Edition, 2000) - J0806",$2.25 USD,,
7,"Jingle All the Way (DVD, 1996, Family Fun Edition, Christmas) - J0806",$3.99 USD,,
8,"The Care Bears Movie (DVD, 1984) - J0806",$1.99 USD,,
9,"We Were Soldiers (DVD, 2002, Widescreen) - J0806",$1.99 USD,,
10,"Forever Young (DVD, 1992) - J0806",$3.99 USD,,
11,"Caddyshack 2 (DVD, 1988) - J0806",$2.50 USD,,
12,"The Secret of NIMH (DVD, 1982) - J0806",$2.25 USD,,
13,"Underdog (DVD, 2007, Disney) - J0806",$1.99 USD,,
14,"Total Recall (DVD, 2012) - J0806",$2.25 USD,,
15,"Ant-Man (DVD, 2015, Marvel) - J0806",$2.50 USD,,
16,"Grease (DVD, 1978, Rockin Rydell Edition) - J0806",$1.99 USD,,
17,"Dog Day Afternoon (DVD, 1975) - J0806",$2.50 USD,,
18,"A Beautiful Mind (DVD, 2001, 2-Disc Awards Edition, Widescreen) - J0806",$1.99 USD,,
19,"When Harry Met Sally (DVD, 1989, Special Edition) - J0806",$1.99 USD,,
20,"Pretty Woman (DVD, Special 10th Anniversary, 1990) - J0806",$2.25 USD,,
21,"The Graduate (DVD, 1967) - J0806",$2.99 USD,,
22,"The Bounty Hunter (DVD, 2010) - J0806",$1.99 USD,,
23,"Pineapple Express (DVD, 2008, Unrated) - J0806",$1.99 USD,,
